item,itemLabel,edits_2018,activity_days_2018,human_editors_2018,edits_2019,activity_days_2019,human_editors_2019,edits_2020,activity_days_2020,human_editors_2020,edits_2021,activity_days_2021,human_editors_2021,human_editors,activity_days,edits,pageviews,enwikipageviews,zhwikipageviews,eswikipageviews,hiwikipageviews,arwikipageviews,bnwikipageviews,frwikipageviews,ruwikipageviews,ptwikipageviews,urwikipageviews,pageviews_2018,enwikipageviews_2018,zhwikipageviews_2018,eswikipageviews_2018,hiwikipageviews_2018,arwikipageviews_2018,bnwikipageviews_2018,frwikipageviews_2018,ruwikipageviews_2018,ptwikipageviews_2018,urwikipageviews_2018,pageviews_2019,enwikipageviews_2019,zhwikipageviews_2019,eswikipageviews_2019,hiwikipageviews_2019,arwikipageviews_2019,bnwikipageviews_2019,frwikipageviews_2019,ruwikipageviews_2019,ptwikipageviews_2019,urwikipageviews_2019,pageviews_2020,enwikipageviews_2020,zhwikipageviews_2020,eswikipageviews_2020,hiwikipageviews_2020,arwikipageviews_2020,bnwikipageviews_2020,frwikipageviews_2020,ruwikipageviews_2020,ptwikipageviews_2020,urwikipageviews_2020,pageviews_2021,enwikipageviews_2021,zhwikipageviews_2021,eswikipageviews_2021,hiwikipageviews_2021,arwikipageviews_2021,bnwikipageviews_2021,frwikipageviews_2021,ruwikipageviews_2021,ptwikipageviews_2021,urwikipageviews_2021,enwikititle,zhwikititle,eswikititle,hiwikititle,arwikititle,bnwikititle,frwikititle,ruwikititle,ptwikititle,urwikititle,HDI,Life expectancy at birth (years) SDG3,Expected years of schooling (years) SDG 4.3,Mean years of schooling (years) SDG 4.6,Gross national income (GNI) per capita (PPP $) SDG 8.5,roi_edits,roi_edits_2018,roi_edits_2019,roi_edits_2020,roi_edits_2021,roi_human_editors,roi_human_editors_2018,roi_human_editors_2019,roi_human_editors_2020,roi_human_editors_2021,roi_activity_days,roi_activity_days_2018,roi_activity_days_2019,roi_activity_days_2020,roi_activity_days_2021
Q419,Peru,552,112,104,731,62,41,211,78,55,105,63,51,227.0,315,1599,16928385,6437006,632097,5975033,63321,437036,27804,1069709,1313462,967466,5451,4907503,1839022,152121,1667389,11780,119055,6823,353698,438608,317285,1722,4218033,1564638,147823,1504024,15698,110503,6272,257072,316483,294048,1472,3920405,1497789,139295,1439441,17713,109152,7278,235713,290417,182299,1308,3882444,1535557,192858,1364179,18130,98326,7431,223226,267954,173834,949,Peru,秘鲁,Perú,पेरू,بيرو,পেরু,Pérou,Перу,Peru,پیرو,0.777,76.7,15.0,9.7,12252.0,10580.240625,8874.327305605786,5762.3401639344265,18492.47641509434,36626.83018867925,74247.30263157895,46738.12380952381,100429.35714285714,70007.23214285714,74662.38461538461,53570.83860759494,43429.23008849558,66952.90476190476,49625.379746835446,60663.1875
Q865,Taiwan,284,119,114,200,74,59,200,89,76,312,118,100,314.0,400,996,33226735,19646542,7758085,1760063,66671,664515,77818,1759149,464958,1017428,11506,6153215,3793138,1340352,297725,7506,117028,13364,344363,57,237198,2484,7219350,4320174,1767286,337561,14124,144432,16511,382441,80,232976,3765,8895435,5305005,2054286,535546,30288,193927,23518,469089,583,280332,2861,10958735,6228225,2596161,589231,14753,209128,24425,563256,464238,266922,2396,Taiwan,中華民國,República de China,चीनी गणराज्य,تايوان,তাইওয়ান,Taïwan,Китайская Республика (Тайвань),Taiwan,تائیوان,,,,,,33326.71514543631,21590.22807017544,35917.164179104475,44255.89552238806,35011.932907348244,105481.69841269842,53506.21739130434,120322.5,115525.12987012988,108502.32673267326,82859.68827930174,51276.79166666666,96258.0,98838.16666666669,92090.21008403362
Q1256820,Coast Miwok,1,1,0,1,1,1,2,2,1,2,2,0,2.0,6,6,86724,86724,0,0,0,0,0,0,0,0,0,19805,19805,0,0,0,0,0,0,0,0,0,22013,22013,0,0,0,0,0,0,0,0,0,23420,23420,0,0,0,0,0,0,0,0,0,21486,21486,0,0,0,0,0,0,0,0,0,Coast Miwok,,,,,,,,,,,,,,,12389.142857142857,9902.5,11006.5,7806.666666666667,7162.0,28908.0,19805.0,11006.5,11710.0,21486.0,12389.142857142857,9902.5,11006.5,7806.666666666667,7162.0
Q811,Nicaragua,353,79,64,609,59,37,166,65,49,69,45,36,174.0,248,1197,9364176,4326597,394992,2715246,10433,207328,10863,526151,685060,484767,2739,2748610,1246527,66573,794937,2120,53676,2685,171155,198032,212161,744,2158349,1005384,58557,663871,2660,53337,3081,113340,161005,96204,910,2176135,1046691,59588,637922,3094,52379,2664,122046,161690,89400,661,2281082,1027995,210274,618516,2559,47936,2433,119610,164333,87002,424,Nicaragua,尼加拉瓜,Nicaragua,निकारागुआ,نيكاراغوا,নিকারাগুয়া,Nicaragua,Никарагуа,Nicarágua,نکاراگوا,0.66,74.5,12.3,6.9,5284.0,7816.507512520868,7764.4350282485875,3538.277049180328,13030.748502994013,32586.88571428572,53509.577142857146,42286.307692307695,56798.65789473684,43522.7,61650.86486486487,37607.132530120485,34357.625,35972.48333333333,32971.742424242424,49588.739130434784
Q106518226,Quileute Tribe of the Quileute Reservation,0,0,0,0,0,0,0,0,0,9,1,1,1.0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q38,Italy,791,113,116,677,80,61,231,106,88,179,100,86,317.0,399,1878,33980394,16275106,1343010,5139698,315164,1513690,221222,3090480,3909771,2135210,37043,8324010,3994174,313766,1300498,57791,359710,40148,773384,941541,531858,11140,7592366,3597211,306282,1178919,63765,311266,43288,696844,914172,465895,14724,10195171,4753384,397362,1568743,129272,493888,95764,891401,1144454,713620,7283,7868847,3930337,325600,1091538,64336,348826,42022,728851,909604,423837,3896,Italy,意大利,Italia,इटली,إيطاليا,ইতালি,Italie,Италия,Itália,اطالیہ,0.892,83.5,16.1,10.4,42776.0,18084.296966471527,10510.113636363636,11198.17994100295,43944.7025862069,43715.816666666666,106856.58490566038,71145.38461538461,122457.51612903226,114552.48314606742,90446.5172413793,84950.985,73017.63157894737,93732.91358024692,95281.97196261682,77909.37623762376
Q231317,Zuni people,7,7,3,4,3,2,8,7,6,14,10,8,19.0,27,33,247235,177519,4727,29886,0,3245,0,12893,13304,5661,0,49688,32405,1348,7468,0,821,0,2562,3895,1189,0,48605,31172,1012,7602,0,652,0,3223,3468,1476,0,48583,30186,978,8781,0,958,0,3259,2826,1595,0,100359,83756,1389,6035,0,814,0,3849,3115,1401,0,Zuni people,祖尼人,Zuñi,,زوني,,Zuñis,Зуни (народ),Zuni,,,,,,,7271.617647058823,6211.0,9721.0,5398.111111111111,6690.6,12361.75,12422.0,16201.666666666666,6940.428571428572,11151.0,8829.82142857143,6211.0,12151.25,6072.875,9123.545454545454
Q1013,Lesotho,456,68,58,542,53,34,155,62,44,65,49,35,156.0,232,1218,6376034,4047572,183179,572566,8556,239591,10975,492184,493431,325489,2491,1521587,989719,39319,128597,1976,44814,2138,113800,119696,80896,632,1396670,874184,40645,139752,2238,39726,2508,123405,116424,56983,805,1844734,1136800,48737,166792,2406,93429,2898,141029,134253,117812,578,1613043,1046869,54478,137425,1936,61622,3431,113950,123058,69798,476,Lesotho,莱索托,Lesoto,लिसूतू,ليسوتو,লেসোথো,Lesotho,Лесото,Lesoto,لیسوتھو,0.527,54.3,11.3,6.5,3151.0,5230.544708777687,3329.512035010941,2572.136279926335,11825.21794871795,24440.045454545456,40611.68152866242,25789.610169491527,39904.857142857145,40994.08888888889,44806.75,27364.95278969957,22051.985507246376,25864.25925925926,29281.492063492064,32260.86
Q265,Uzbekistan,333,74,55,359,62,45,198,76,55,104,57,46,183.0,269,994,13998434,7009594,541287,910251,90390,750683,59868,836025,3503300,277651,19385,3220249,1609784,106676,228808,16481,173789,9990,186895,814346,69717,3763,3369407,1637961,129776,221476,21511,191144,13051,199175,885750,64746,4817,3296160,1630455,116380,195994,21609,182067,18198,244994,818976,62847,4640,4112618,2131394,188455,263973,30789,203683,18629,204961,984228,80341,6165,Uzbekistan,乌兹别克斯坦,Uzbekistán,उज़्बेकिस्तान,أوزبكستان,উজবেকিস্তান,Ouzbékistan,Узбекистан,Uzbequistão,ازبکستان,0.72,71.7,12.1,11.8,7142.0,14068.777889447236,9641.464071856288,9359.46388888889,16563.618090452263,39167.79047619048,76078.44565217392,57504.44642857143,73247.97826086957,58860.0,87502.51063829787,51846.05185185185,42936.653333333335,53482.65079365079,42807.27272727273,70907.20689655172
Q228,Andorra,278,68,55,251,62,48,125,62,40,83,61,43,167.0,253,737,14417348,6284760,354686,3828014,15060,324369,13030,1765713,1251390,576376,3950,3321450,1519483,76848,820499,1837,65949,3487,333559,338646,160037,1105,3563504,1426149,83789,853243,2733,71046,2928,659388,314170,148959,1099,3329360,1486870,88153,905702,4374,71713,3675,365678,259538,142708,949,4203034,1852258,105896,1248570,6116,115661,2940,407088,339036,124672,797,Andorra,安道尔,Andorra,अण्डोरा,أندورا,অ্যান্ডোরা,Andorre,Андорра,Andorra,انڈورا,0.868,81.9,13.3,10.5,56000.0,19535.70189701897,11904.83870967742,14140.888888888889,26423.492063492064,50036.119047619046,85817.54761904762,59311.607142857145,72724.57142857143,81203.90243902439,95523.5,56761.2125984252,48136.95652173913,56563.55555555556,52846.98412698413,67790.87096774194
Q1045,Somalia,274,75,58,202,65,40,163,62,48,80,48,41,168.0,250,719,10423387,6160757,362452,946004,48427,817802,32594,648802,1016403,381542,8604,2552642,1515965,65904,234166,10461,196068,6841,145618,266505,109157,1957,2543075,1526941,75089,239434,12423,187113,7773,156254,242073,93714,2261,2661955,1539804,108639,251527,12942,224922,9894,182454,244546,84989,2238,2665715,1578047,112820,220877,12601,209699,8086,164476,263279,93682,2148,Somalia,索马里,Somalia,सोमालिया,الصومال,সোমালিয়া,Somalie,Сомали,Somália,صومالیہ,,,,,,14476.926388888887,9282.334545454543,12527.463054187192,16231.432926829268,32910.06172839506,61676.84615384616,43265.1186440678,62026.21951219512,54325.61224489796,63469.40476190476,41527.43824701195,33587.39473684211,38531.43939393939,42253.25396825397,54402.34693877551
